"rank","cluster","symbols","frontend_total","backend_total","cohesion","dominance"
1,"Services",2412,29,2383,87.84,"backend"
2,"Api",2107,1936,118,80.34,"frontend"
3,"Engage",1289,55,1234,77.94,"backend"
4,"Controllers",720,29,684,91.52,"backend"
5,"Campaign",701,15,686,72.39,"backend"
6,"Models",693,4,689,82.56,"backend"
7,"Traits",548,4,544,68.9,"backend"
8,"Actions",535,13,522,80.83,"backend"
9,"Listeners",496,7,489,77.84,"backend"
10,"Checkout",493,5,488,79.85,"backend"
11,"Components",458,122,168,83.38,"backend"
12,"Imports",410,47,363,82.86,"backend"
13,"Dashboard",407,30,377,86.79,"backend"
14,"Jobs",393,1,392,89.69,"backend"
15,"Workflows",383,24,359,79.33,"backend"
16,"Contacts",383,51,332,80.44,"backend"
17,"Filters",345,254,91,83.53,"frontend"
18,"CustomHooks",338,325,7,69.36,"frontend"
19,"ModelFilters",334,2,332,64.92,"backend"
20,"Transaction",323,3,320,71.01,"backend"
21,"Auction",322,25,297,74.98,"backend"
22,"Unit",306,1,305,72.02,"backend"
23,"Auctions",305,14,291,77.96,"backend"
24,"Hooks",304,222,29,72.7,"frontend"
25,"Support",294,0,294,87.86,"backend"
26,"Contact",289,4,285,74.97,"backend"
27,"Transactions",266,29,237,85.13,"backend"
28,"Auth",243,1,242,80.64,"backend"
29,"Account",231,20,211,66.99,"backend"
30,"Exports",223,0,217,89.25,"backend"
31,"Providers",223,5,171,88.25,"backend"
32,"Rules",222,1,221,82.24,"backend"
33,"API",221,20,201,90.94,"backend"
34,"DataTransferObjects",204,0,204,82.19,"backend"
35,"Finance",204,82,122,79.94,"backend"
36,"Reporting",198,0,198,70.36,"backend"
37,"Js",198,0,177,90.52,"backend"
38,"Accounts",195,51,144,78.82,"backend"
39,"Webhooks",190,7,174,92.78,"backend"
40,"Campaigns",189,20,169,83.51,"backend"
41,"Pledges",185,13,172,65.3,"backend"
42,"Messages",179,0,179,86.22,"backend"
43,"Triggers",166,40,126,93.23,"backend"
44,"Tools",161,0,161,91.2,"backend"
45,"Factories",151,0,151,100,"backend"
46,"Payments",145,0,145,78.01,"backend"
47,"Aggregator",139,0,0,81.49,"unmapped"
48,"Middleware",136,0,136,88.23,"backend"
49,"V1",131,1,130,89.28,"backend"
50,"Summary",124,0,124,92.32,"backend"
51,"Opensearch",123,0,0,78.39,"unmapped"
52,"Filters-next",118,116,0,77.9,"frontend"
53,"Pipeline",116,0,0,76.31,"unmapped"
54,"Commands",112,1,111,77.35,"backend"
55,"Generation",110,0,110,61.93,"backend"
56,"Schema",110,0,37,77.41,"backend"
57,"Payout",107,0,107,77.7,"backend"
58,"Orchestra",106,0,106,70.48,"backend"
59,"Event",104,5,99,70.38,"backend"
60,"Form",102,102,0,64.53,"frontend"
61,"Ledger",98,0,98,90.4,"backend"
62,"Notifications",92,0,92,92.46,"backend"
63,"Mobile",90,0,90,80.4,"backend"
64,"Hydrator",89,0,0,88.23,"unmapped"
65,"Contracts",87,0,87,90.44,"backend"
66,"Task",85,6,79,83.41,"backend"
67,"Backfill",84,0,9,83.74,"backend"
68,"Households",82,3,79,73.78,"backend"
69,"Extensions",82,12,2,77.04,"frontend"
70,"Kafka",82,0,0,63.67,"unmapped"
71,"Collections",81,6,33,70.98,"backend"
72,"Mail",79,0,79,87.57,"backend"
73,"Requests",79,2,77,80.1,"backend"
74,"Feature",77,0,77,86.44,"backend"
75,"DataSync",75,0,75,76.36,"backend"
76,"MailPiece",75,0,75,70.79,"backend"
77,"Translate",74,0,0,94.6,"unmapped"
78,"Scheduling",73,6,67,83.79,"backend"
79,"Repairs",72,0,72,87.88,"backend"
80,"Blueprint",71,3,68,77.57,"backend"
81,"Stripe",70,1,69,90.25,"backend"
82,"Http",68,9,59,81.42,"backend"
83,"Methods",67,0,67,79.84,"backend"
84,"ContactActivity",66,0,66,87.09,"backend"
85,"Termui",66,0,0,78.35,"unmapped"
86,"Mediators",65,0,65,86.86,"backend"
87,"Line",65,0,65,71.45,"backend"
88,"Sanitizer",64,0,64,90.33,"backend"
89,"BranchConditions",61,0,61,100,"backend"
90,"Policies",60,2,58,81.05,"backend"
91,"Integrations",59,29,30,78.88,"backend"
92,"Service",59,0,59,76.54,"backend"
93,"Dev",58,0,58,79.29,"backend"
94,"Seeders",57,0,57,97.7,"backend"
95,"Whisk-eval",57,0,0,85.35,"unmapped"
96,"Intl-tel-input",55,0,54,88.67,"backend"
97,"Testing",55,0,55,96.5,"backend"
98,"Concerns",55,0,55,99.31,"backend"
99,"Registry",54,2,52,75.83,"backend"
100,"Sharing",54,0,54,73.23,"backend"
101,"Events",54,7,47,81.35,"backend"
102,"Reports",51,15,34,80.89,"backend"
103,"Batch",51,0,0,91.04,"unmapped"
104,"Datadog",50,0,50,76.53,"backend"
105,"Setup",50,0,50,79.68,"backend"
106,"ModelSeeders",49,0,49,94.07,"backend"
107,"Numbers",48,0,48,94.94,"backend"
108,"Custom-fields",48,46,2,78.49,"frontend"
109,"Builder",48,0,48,93.13,"backend"
110,"PaymentPlan",47,1,46,83.37,"backend"
111,"AccessControl",47,0,47,83.97,"backend"
112,"Table-seating",46,46,0,88.69,"frontend"
113,"Table",45,18,0,77.42,"frontend"
114,"Verify",45,0,0,82.33,"unmapped"
115,"Column",45,0,45,86.19,"backend"
116,"Pools",44,0,44,94.88,"backend"
117,"Filtering",44,0,44,69.2,"backend"
118,"ProjectManagement",43,0,43,88.93,"backend"
119,"Internal",42,0,29,87.08,"backend"
120,"Domains",42,0,42,94.9,"backend"
121,"GuideStar",40,0,40,84.7,"backend"
122,"Queries",40,18,22,78.05,"backend"
123,"Flow-v2",38,0,38,88.57,"backend"
124,"Payment",38,12,26,84.91,"backend"
125,"Pledge",37,1,36,77.43,"backend"
126,"Lob",37,0,37,85.38,"backend"
127,"SoftCredits",37,0,37,88.31,"backend"
128,"UI",36,0,35,89.3,"backend"
129,"CustomRules",35,0,35,97.14,"backend"
130,"Sponsors",35,5,30,82.55,"backend"
